Time,Flow
2018-06-01 00:05,63.0
2018-06-01 00:20,54.0
2018-06-01 00:35,48.0
2018-06-01 00:50,41.0
2018-06-01 01:05,40.0
2018-06-01 01:20,41.0
2018-06-01 01:35,35.0
2018-06-01 01:50,38.0
2018-06-01 02:05,48.0
2018-06-01 02:20,75.0
2018-06-01 02:35,92.0
2018-06-01 02:50,104.0
2018-06-01 03:05,103.0
2018-06-01 03:20,107.0
2018-06-01 03:35,114.0
2018-06-01 03:50,89.0
2018-06-01 04:05,108.0
2018-06-01 04:20,128.0
2018-06-01 04:35,148.0
2018-06-01 04:50,205.0
2018-06-01 05:05,265.0
2018-06-01 05:20,281.0
2018-06-01 05:35,271.0
2018-06-01 05:50,283.0
2018-06-01 06:05,295.0
2018-06-01 06:20,302.0
2018-06-01 06:35,292.0
2018-06-01 06:50,296.0
2018-06-01 07:05,287.0
2018-06-01 07:20,340.0
2018-06-01 07:35,378.0
2018-06-01 07:50,369.0
2018-06-01 08:05,369.0
2018-06-01 08:20,369.0
2018-06-01 08:35,369.0
2018-06-01 08:50,369.0
2018-06-01 09:05,369.0
2018-06-01 09:20,369.0
2018-06-01 09:35,369.0
2018-06-01 09:50,369.0
2018-06-01 10:05,369.0
2018-06-01 10:20,369.0
2018-06-01 10:35,369.0
2018-06-01 10:50,369.0
2018-06-01 11:05,369.0
2018-06-01 11:20,369.0
2018-06-01 11:35,369.0
2018-06-01 11:50,369.0
2018-06-01 12:05,369.0
2018-06-01 12:20,369.0
2018-06-01 12:35,369.0
2018-06-01 12:50,369.0
2018-06-01 13:05,369.0
2018-06-01 13:20,369.0
2018-06-01 13:35,369.0
2018-06-01 13:50,292.0
2018-06-01 14:05,349.0
2018-06-01 14:20,380.0
2018-06-01 14:35,384.0
2018-06-01 14:50,326.0
2018-06-01 15:05,316.0
2018-06-01 15:20,343.0
2018-06-01 15:35,356.0
2018-06-01 15:50,383.0
2018-06-01 16:05,390.0
2018-06-01 16:20,351.0
2018-06-01 16:35,357.0
2018-06-01 16:50,334.0
2018-06-01 17:05,343.0
2018-06-01 17:20,332.0
2018-06-01 17:35,336.0
2018-06-01 17:50,335.0
2018-06-01 18:05,326.0
2018-06-01 18:20,298.0
2018-06-01 18:35,284.0
2018-06-01 18:50,264.0
2018-06-01 19:05,264.0
2018-06-01 19:20,264.0
2018-06-01 19:35,239.0
2018-06-01 19:50,272.0
2018-06-01 20:05,256.0
2018-06-01 20:20,255.0
2018-06-01 20:35,248.0
2018-06-01 20:50,240.0
2018-06-01 21:05,251.0
2018-06-01 21:20,206.0
2018-06-01 21:35,181.0
2018-06-01 21:50,128.0
2018-06-01 22:05,116.0
2018-06-01 22:20,116.0
2018-06-01 22:35,116.0
2018-06-01 22:50,116.0
2018-06-01 23:05,116.0
2018-06-01 23:20,116.0
2018-06-01 23:35,75.0
2018-06-01 23:50,52.0
2018-06-02 00:05,59.0
2018-06-02 00:20,42.0
2018-06-02 00:35,39.0
2018-06-02 00:50,34.0
2018-06-02 01:05,29.0
2018-06-02 01:20,31.0
2018-06-02 01:35,37.0
2018-06-02 01:50,27.0
